generated_at_utc,stage,metric,value,status
2026-08-19T06:30:55.512945+00:00,ingestion,raw_table_count,9,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_rows_customers,99441,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_columns_customers,5,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_missing_cells_customers,0,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_rows_geolocation,1000163,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_columns_geolocation,5,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_missing_cells_geolocation,0,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_rows_order_items,112650,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_columns_order_items,7,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_missing_cells_order_items,0,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_rows_order_payments,103886,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_columns_order_payments,5,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_missing_cells_order_payments,0,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_rows_order_reviews,99224,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_columns_order_reviews,7,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_missing_cells_order_reviews,145903,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_rows_orders,99441,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_columns_orders,8,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_missing_cells_orders,4908,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_rows_products,32951,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_columns_products,9,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_missing_cells_products,2448,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_rows_sellers,3095,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_columns_sellers,4,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_missing_cells_sellers,0,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_rows_category_translation,71,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_columns_category_translation,2,PASS
2026-08-19T06:30:55.512945+00:00,ingestion,raw_missing_cells_category_translation,0,PASS
2026-08-19T06:30:55.512945+00:00,cleaning,revenue_rows,112101,PASS
2026-08-19T06:30:55.512945+00:00,cleaning,category_rows,110512,PASS
2026-08-19T06:30:55.512945+00:00,cleaning,region_rows,112101,PASS
2026-08-19T06:30:55.512945+00:00,cleaning,duplicate_order_item_keys,0,PASS
2026-08-19T06:30:55.512945+00:00,cleaning,missing_item_revenue,0,PASS
2026-08-19T06:30:55.512945+00:00,cleaning,negative_item_revenue,0,PASS
2026-08-19T06:30:55.512945+00:00,cleaning,missing_business_category,0,PASS
2026-08-19T06:30:55.512945+00:00,cleaning,missing_region,0,PASS
2026-08-19T06:30:55.512945+00:00,cleaning,business_category_count,15,PASS
2026-08-19T06:30:55.512945+00:00,cleaning,mapping_category_count,73,PASS
2026-08-19T06:30:55.512945+00:00,cleaning,business_group_count,15,PASS
2026-08-19T06:30:55.512945+00:00,cleaning,invalid_business_group_count,False,PASS
2026-08-19T06:30:55.512945+00:00,business_rules,approved_revenue,15735527.03,PASS
2026-08-19T06:30:55.512945+00:00,business_rules,category_analysis_revenue,15529002.74,PASS
2026-08-19T06:30:55.512945+00:00,business_rules,region_analysis_revenue,15735527.03,PASS
2026-08-19T06:30:55.512945+00:00,business_rules,business_category_count,15,PASS
2026-08-19T06:30:55.512945+00:00,business_rules,region_count,5,PASS
2026-08-19T06:30:55.512945+00:00,business_rules,model_start,2017-01-01,PASS
2026-08-19T06:30:55.512945+00:00,business_rules,model_end,2018-08-26,PASS
2026-08-19T06:30:55.512945+00:00,feature_engineering,rows,1827,PASS
2026-08-19T06:30:55.512945+00:00,feature_engineering,series_count,21,PASS
2026-08-19T06:30:55.512945+00:00,feature_engineering,overall_series,1,PASS
2026-08-19T06:30:55.512945+00:00,feature_engineering,category_series,15,PASS
2026-08-19T06:30:55.512945+00:00,feature_engineering,region_series,5,PASS
2026-08-19T06:30:55.512945+00:00,feature_engineering,model_start,2017-01-01T00:00:00,PASS
2026-08-19T06:30:55.512945+00:00,feature_engineering,model_end,2018-08-26T00:00:00,PASS
2026-08-19T06:30:55.512945+00:00,reconciliation,overall_difference,-1.862645149230957e-09,PASS
2026-08-19T06:30:55.512945+00:00,reconciliation,category_difference,0.0,PASS
2026-08-19T06:30:55.512945+00:00,reconciliation,region_difference,0.0,PASS
2026-08-19T06:30:55.512945+00:00,storage,processed_dataset_exists,True,PASS
2026-08-19T06:30:55.512945+00:00,storage,feature_dataset_exists,True,PASS
