series_type,series_id,feature,reference_start,reference_end,current_start,current_end,comparison_type,ks_statistic,ks_p_value,psi,status
overall,overall,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9615384615384616,2.0971186412765735e-13,12.096551408712614,alert
overall,overall,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
overall,overall,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
overall,overall,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
overall,overall,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.6153846153846154,6.380089941770941e-05,4.837948629210951,alert
category,Automotive,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8846153846153846,8.912754225425437e-11,9.766624510346546,alert
category,Automotive,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9230769230769231,5.3476525352552624e-12,10.719901745999614,alert
category,Automotive,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9230769230769231,5.3476525352552624e-12,11.141550537767234,alert
category,Automotive,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
category,Automotive,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.3076923076923077,0.17202888984679188,6.000516734265482,alert
category,Beauty & Health,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9615384615384616,2.0971186412765735e-13,11.141550537767234,alert
category,Beauty & Health,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9615384615384616,2.0971186412765735e-13,11.141550537767234,alert
category,Beauty & Health,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9615384615384616,2.0971186412765735e-13,10.719901745999614,alert
category,Beauty & Health,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
category,Beauty & Health,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8076923076923077,1.0481398969100314e-08,9.766624510346547,alert
category,Books & Media,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.6923076923076923,3.034926505070743e-06,6.189475714938379,alert
category,Books & Media,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.7307692307692307,5.395424897903543e-07,6.668860889027409,alert
category,Books & Media,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.6923076923076923,3.034926505070743e-06,7.132763999589957,alert
