series_type,series_id,baseline_start,baseline_end,recent_start,recent_end,baseline_mae,baseline_rmse,baseline_mape,recent_mae,recent_rmse,recent_mape,status
overall,overall,2017-12-31,2018-05-13,2018-05-20,2018-08-05,27587.39775821285,35802.343349693554,12.087158719096116,51627.91823290023,66328.9930068859,25.80740011652271,alert
category,Automotive,2017-12-31,2018-05-13,2018-05-20,2018-08-05,2911.6441420898436,3794.0567376932268,34.244659342201025,3254.8398307291664,3850.802481498393,35.876603691772274,alert
category,Beauty & Health,2017-12-31,2018-05-13,2018-05-20,2018-08-05,7035.579091796875,7993.546994578046,26.25315301269603,6413.583457031251,7915.418701013426,20.794394678136342,stable
category,Books & Media,2017-12-31,2018-05-13,2018-05-20,2018-08-05,2664.6399108886712,3242.625645824363,51.87186861394116,2705.65286702474,3384.531412115872,73.06124685173509,alert
category,Electronics & Computing,2017-12-31,2018-05-13,2018-05-20,2018-08-05,9808.837901367186,12247.495138664472,36.39637880547718,5788.308932291667,6851.61321995193,31.122462035137037,warning
category,Fashion & Accessories,2017-12-31,2018-05-13,2018-05-20,2018-08-05,10120.244166992186,11936.30548412625,36.666439359435515,11169.672669270833,14011.847398561518,51.00522134163712,alert
category,Food & Beverage,2017-12-31,2018-05-13,2018-05-20,2018-08-05,579.9095708007811,821.9538028195334,33.62025989786681,761.669427693685,929.1243554308494,127.68016794736432,alert
category,"Gifts, Arts & Seasonal",2017-12-31,2018-05-13,2018-05-20,2018-08-05,1913.5887021484377,2309.4546618765917,19.00467501159494,3161.9672778320314,4073.821385050764,64.77696964497473,alert
category,Home & Furniture,2017-12-31,2018-05-13,2018-05-20,2018-08-05,9651.225273437502,12405.216570452665,21.008819447106287,11500.544674479164,13819.445268033493,25.279740939268237,warning
category,Home Improvement & Garden,2017-12-31,2018-05-13,2018-05-20,2018-08-05,4226.947736328126,5588.075198810712,23.83678434152702,3826.451448567708,4707.326002931602,25.61800311173731,warning
category,Kids & Baby,2017-12-31,2018-05-13,2018-05-20,2018-08-05,6519.878061523437,7967.479920977183,43.81653099135276,4362.876100260416,5186.277768566659,40.64981484705778,alert
category,Kitchen & Appliances,2017-12-31,2018-05-13,2018-05-20,2018-08-05,4835.699994140625,6395.61775632128,42.70916251029425,3413.927807617187,4055.2589305506176,34.96912182243702,warning
category,"Office, Business & Services",2017-12-31,2018-05-13,2018-05-20,2018-08-05,4658.87977734375,5821.276152072452,31.542753840850256,3216.179889322917,3712.9269332113363,30.189571851688246,warning
category,Pet Supplies,2017-12-31,2018-05-13,2018-05-20,2018-08-05,1329.2992260742187,1693.7593055903128,35.58637305026357,1425.8115543619795,1878.6402037425814,27.092714679723866,warning
category,Phones & Telecom,2017-12-31,2018-05-13,2018-05-20,2018-08-05,2043.073779296875,2722.784432073374,34.562998997863225,2978.7200911458335,4364.206798610223,37.57987344417844,alert
category,Sports & Leisure,2017-12-31,2018-05-13,2018-05-20,2018-08-05,5508.556090820312,7805.837745809598,27.54074619514161,4262.655309244791,5351.051072335226,37.16438200733805,alert
region,Central-West,2017-12-31,2018-05-13,2018-05-20,2018-08-05,3275.80390625,4808.290031381142,19.4400101133077,5275.158082682291,6910.260397958994,45.84512687813915,alert
region,North,2017-12-31,2018-05-13,2018-05-20,2018-08-05,1508.0399218749997,1843.9493490773289,24.415006067818755,2805.6771573893225,3750.835289283438,92.51108242965314,alert
region,Northeast,2017-12-31,2018-05-13,2018-05-20,2018-08-05,5292.6291171875,6573.270289005997,18.586487067635986,7177.011100260417,8632.786065644914,26.791527012484405,warning
region,South,2017-12-31,2018-05-13,2018-05-20,2018-08-05,9796.869009765625,11811.90130414825,28.24818507655899,12186.62943359375,15106.321019845955,45.9557948305195,alert
region,Southeast,2017-12-31,2018-05-13,2018-05-20,2018-08-05,34243.1093828125,47220.81413363784,21.366141863187913,42261.741822916665,49182.00564229332,29.02742772437406,warning
