series_type,series_id,fold,train_start,train_end,validation_start,validation_end,mae,rmse,mape,interval_coverage_pct
category,Automotive,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,6153.977048339843,6355.902142585376,100.57540839683683,50.0
category,Automotive,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,2861.345415039063,3437.989504355302,30.18880504914333,75.0
category,Automotive,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,2856.907143554688,3573.154002415243,21.172241432912504,100.0
category,Automotive,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,1612.3027343749995,2302.8609845694637,11.082112206748112,100.0
category,Automotive,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,1073.6883691406251,1298.6418007941907,8.20472962536435,75.0
category,Automotive,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,3412.2877636718745,4235.3219881695195,51.61499446090819,25.0
category,Automotive,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,2162.460634765625,2387.2308553624894,23.39939784646428,75.0
category,Automotive,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,4189.77109375,4566.094146453357,32.61541876794434,25.0
category,Beauty & Health,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,8937.147431640624,9889.528825404841,45.69100423669495,25.0
category,Beauty & Health,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,9304.94783203125,9663.698650758937,32.174680417968595,50.0
category,Beauty & Health,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,7210.556367187501,8113.857594821298,20.144111625693046,75.0
category,Beauty & Health,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,3877.4950976562504,4442.476055923779,16.71029505205269,50.0
category,Beauty & Health,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,5847.748730468749,6536.347389402572,16.54567373107089,100.0
category,Beauty & Health,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,8375.689238281251,10145.65842564666,33.82288167949964,50.0
category,Beauty & Health,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,4450.073554687501,4900.168087243241,13.475141419876243,100.0
category,Beauty & Health,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,6414.987578125,7811.243656673824,15.085160935033143,75.0
category,Books & Media,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,2812.709088134766,2924.78502188409,88.1076231308136,25.0
category,Books & Media,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,1933.7399072265623,2220.5923265966676,45.88524631619968,75.0
category,Books & Media,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,780.3239331054687,964.9700082585356,29.165008297569116,100.0
category,Books & Media,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,3154.0041577148436,3484.9840753577914,48.922566520747424,25.0
category,Books & Media,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,4642.422468261719,5100.139857619196,47.27889880437597,25.0
category,Books & Media,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,3819.2237011718753,4641.583172367707,115.8350300756789,25.0
