series_type,series_id,timestamp,forecast_revenue,lower_80,upper_80,model,model_artifact
category,Automotive,2018-09-02,9803.1748046875,7570.006576171874,15817.7875,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_automotive.json
category,Automotive,2018-09-09,12793.5205078125,10560.352279296874,18808.133203125,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_automotive.json
category,Automotive,2018-09-16,12027.4716796875,9794.303451171874,18042.084375,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_automotive.json
category,Automotive,2018-09-23,14574.654296875,12341.486068359374,20589.2669921875,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_automotive.json
category,Beauty & Health,2018-09-02,28674.123046875,23057.6191640625,40353.572859375,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_beauty_health.json
category,Beauty & Health,2018-09-09,32545.7890625,26929.2851796875,44225.238875,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_beauty_health.json
category,Beauty & Health,2018-09-16,29002.4765625,23385.9726796875,40681.926375,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_beauty_health.json
category,Beauty & Health,2018-09-23,26605.9296875,20989.4258046875,38285.3795,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_beauty_health.json
category,Books & Media,2018-09-02,6288.96435546875,3657.8563164062502,10228.870798828126,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_books_media.json
category,Books & Media,2018-09-09,4016.015625,1384.9075859375002,7955.922068359376,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_books_media.json
category,Books & Media,2018-09-16,4705.55029296875,2074.4422539062502,8645.456736328126,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_books_media.json
category,Books & Media,2018-09-23,2838.25634765625,207.14830859375024,6778.162791015626,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_books_media.json
category,Electronics & Computing,2018-09-02,39612.859375,26580.44215625,50050.2980234375,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_electronics_computing.json
category,Electronics & Computing,2018-09-09,30145.91796875,17113.50075,40583.3566171875,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_electronics_computing.json
category,Electronics & Computing,2018-09-16,24562.59765625,11530.180437500001,35000.0363046875,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_electronics_computing.json
category,Electronics & Computing,2018-09-23,15476.513671875,2444.096453125001,25913.9523203125,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_electronics_computing.json
category,Fashion & Accessories,2018-09-02,26277.419921875,15636.709921875003,40566.59225390625,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_fashion_accessories.json
category,Fashion & Accessories,2018-09-09,23355.728515625,12715.018515625003,37644.90084765625,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_fashion_accessories.json
category,Fashion & Accessories,2018-09-16,27294.10546875,16653.39546875,41583.27780078125,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_fashion_accessories.json
category,Fashion & Accessories,2018-09-23,24063.390625,13422.680625000003,38352.56295703125,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_fashion_accessories.json
category,Food & Beverage,2018-09-02,3597.196044921875,3121.491564453125,4588.714669921875,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_food_beverage.json
