series_type,series_id,model,mean_mae,mean_rmse,mean_mape,mean_interval_coverage_pct,rank_within_type
category,Home & Furniture,xgboost,10344.720048828125,11756.11417149109,22.61041500666702,71.875,1
category,Beauty & Health,xgboost,6802.330728759765,7687.872335734394,24.206118637236152,65.625,2
category,Home Improvement & Garden,xgboost,4076.7616284179685,4973.676928103209,24.504741380355878,75.0,3
category,"Office, Business & Services",xgboost,4117.867319335937,4592.822654305519,31.0353105949145,56.25,4
category,Sports & Leisure,xgboost,5041.343297729492,5853.988139100812,31.14960962471528,56.25,5
category,Pet Supplies,xgboost,1365.491349182129,1542.9151636553802,32.40125116131117,75.0,6
category,Electronics & Computing,xgboost,8301.139537963867,9336.661409160668,34.418660016599624,84.375,7
category,Automotive,xgboost,3040.3425253295895,3519.649428088118,34.856638473290246,65.625,8
category,Phones & Telecom,xgboost,2393.941146240234,2966.5464309354775,35.694326915231436,75.0,9
category,"Gifts, Arts & Seasonal",xgboost,2381.730668029785,2709.974772243463,36.169285499112355,81.25,10
category,Kitchen & Appliances,xgboost,4302.535424194336,4976.630738245189,39.80664725234779,53.125,11
category,Fashion & Accessories,xgboost,10513.77985534668,11736.082887685014,42.04348260276112,59.375,12
category,Kids & Baby,xgboost,5711.002326049804,6406.344602279896,42.62901243724214,68.75,13
category,Books & Media,xgboost,2680.0197694396975,3025.7695703348977,59.81788545311389,53.125,14
category,Food & Beverage,xgboost,648.0695171356201,789.1414681846571,68.89272541642839,62.5,15
region,Northeast,xgboost,5999.272360839845,7020.645196832522,21.663377046954146,71.875,1
region,Southeast,xgboost,37250.09654785157,42221.441585337336,24.23912406113272,68.75,2
region,Central-West,xgboost,4025.5617224121092,4954.5334433249045,29.341928900119484,62.5,3
region,South,xgboost,10693.029168701172,12378.374318911363,34.88853873429418,65.625,4
region,North,xgboost,1994.653885192871,2347.7232983943445,49.95103470350666,78.125,5
