series_type,series_id,forecast_timestamp,forecast_revenue,feature,feature_value,shap_value,direction,base_value
overall,overall,2018-09-02,216361.15625,lag_1,146813.64,-12253.7626953125,down,180355.1875
overall,overall,2018-09-02,216361.15625,lag_4,323755.55,-14603.630859375,down,180355.1875
overall,overall,2018-09-02,216361.15625,lag_52,204846.67,21078.931640625,up,180355.1875
overall,overall,2018-09-02,216361.15625,rolling_mean_4,270627.24,27075.951171875,up,180355.1875
overall,overall,2018-09-02,216361.15625,rolling_std_4,84375.63975315899,173.3009033203125,up,180355.1875
overall,overall,2018-09-02,216361.15625,year,2018.0,987.0328979492188,up,180355.1875
overall,overall,2018-09-02,216361.15625,month,9.0,2255.763427734375,up,180355.1875
overall,overall,2018-09-02,216361.15625,quarter,3.0,11.086385726928711,up,180355.1875
overall,overall,2018-09-02,216361.15625,week_of_year,35.0,365.3454284667969,up,180355.1875
overall,overall,2018-09-02,216361.15625,day_of_week,6.0,0.0,neutral,180355.1875
overall,overall,2018-09-02,216361.15625,is_weekend,1.0,0.0,neutral,180355.1875
overall,overall,2018-09-02,216361.15625,days_to_month_end,28.0,6176.1865234375,up,180355.1875
overall,overall,2018-09-02,216361.15625,month_sin,-1.0,1277.8077392578125,up,180355.1875
overall,overall,2018-09-02,216361.15625,month_cos,-1.8369701987210297e-16,448.65289306640625,up,180355.1875
overall,overall,2018-09-02,216361.15625,week_sin,-0.8854560256532096,468.12554931640625,up,180355.1875
overall,overall,2018-09-02,216361.15625,week_cos,-0.4647231720437691,2545.339111328125,up,180355.1875
overall,overall,2018-09-09,228397.328125,lag_1,216361.15625,15443.7802734375,up,180355.1875
overall,overall,2018-09-09,228397.328125,lag_4,324773.02,-13441.494140625,down,180355.1875
overall,overall,2018-09-09,228397.328125,lag_52,152872.74,17589.96484375,up,180355.1875
overall,overall,2018-09-09,228397.328125,rolling_mean_4,243778.6415625,26791.828125,up,180355.1875
overall,overall,2018-09-09,228397.328125,rolling_std_4,78732.77022337016,618.153564453125,up,180355.1875
overall,overall,2018-09-09,228397.328125,year,2018.0,269.1361389160156,up,180355.1875
overall,overall,2018-09-09,228397.328125,month,9.0,2176.884521484375,up,180355.1875
overall,overall,2018-09-09,228397.328125,quarter,3.0,11.086385726928711,up,180355.1875
overall,overall,2018-09-09,228397.328125,week_of_year,36.0,300.8185119628906,up,180355.1875
overall,overall,2018-09-09,228397.328125,day_of_week,6.0,0.0,neutral,180355.1875
overall,overall,2018-09-09,228397.328125,is_weekend,1.0,0.0,neutral,180355.1875
overall,overall,2018-09-09,228397.328125,days_to_month_end,21.0,4355.0,up,180355.1875
overall,overall,2018-09-09,228397.328125,month_sin,-1.0,505.43133544921875,up,180355.1875
overall,overall,2018-09-09,228397.328125,month_cos,-1.8369701987210297e-16,361.70941162109375,up,180355.1875
overall,overall,2018-09-09,228397.328125,week_sin,-0.9350162426854147,-7274.84033203125,down,180355.1875
overall,overall,2018-09-09,228397.328125,week_cos,-0.3546048870425359,334.7113952636719,up,180355.1875
overall,overall,2018-09-16,242334.5625,lag_1,228397.328125,15624.89453125,up,180355.1875
overall,overall,2018-09-16,242334.5625,lag_4,287166.75,-12910.6044921875,down,180355.1875
overall,overall,2018-09-16,242334.5625,lag_52,184851.25,16950.232421875,up,180355.1875
overall,overall,2018-09-16,242334.5625,rolling_mean_4,219684.71859375,34998.75390625,up,180355.1875
overall,overall,2018-09-16,242334.5625,rolling_std_4,57593.327997918364,1543.960693359375,up,180355.1875
overall,overall,2018-09-16,242334.5625,year,2018.0,269.1361389160156,up,180355.1875
overall,overall,2018-09-16,242334.5625,month,9.0,2336.737548828125,up,180355.1875
overall,overall,2018-09-16,242334.5625,quarter,3.0,11.086385726928711,up,180355.1875
overall,overall,2018-09-16,242334.5625,week_of_year,37.0,365.4725341796875,up,180355.1875
overall,overall,2018-09-16,242334.5625,day_of_week,6.0,0.0,neutral,180355.1875
overall,overall,2018-09-16,242334.5625,is_weekend,1.0,0.0,neutral,180355.1875
overall,overall,2018-09-16,242334.5625,days_to_month_end,14.0,8295.4765625,up,180355.1875
overall,overall,2018-09-16,242334.5625,month_sin,-1.0,533.6489868164062,up,180355.1875
overall,overall,2018-09-16,242334.5625,month_cos,-1.8369701987210297e-16,361.70941162109375,up,180355.1875
overall,overall,2018-09-16,242334.5625,week_sin,-0.970941817426052,-6794.89404296875,down,180355.1875
overall,overall,2018-09-16,242334.5625,week_cos,-0.23931566428755774,393.864990234375,up,180355.1875
overall,overall,2018-09-23,271394.25,lag_1,242334.5625,23294.169921875,up,180355.1875
overall,overall,2018-09-23,271394.25,lag_4,146813.64,6051.60595703125,up,180355.1875
overall,overall,2018-09-23,271394.25,lag_52,150527.77,18064.99609375,up,180355.1875
overall,overall,2018-09-23,271394.25,rolling_mean_4,208476.67171875,44186.609375,up,180355.1875
overall,overall,2018-09-23,271394.25,rolling_std_4,42456.58133859426,-2264.584228515625,down,180355.1875
overall,overall,2018-09-23,271394.25,year,2018.0,265.1318054199219,up,180355.1875
overall,overall,2018-09-23,271394.25,month,9.0,2346.687255859375,up,180355.1875
overall,overall,2018-09-23,271394.25,quarter,3.0,11.086385726928711,up,180355.1875
overall,overall,2018-09-23,271394.25,week_of_year,38.0,575.384521484375,up,180355.1875
overall,overall,2018-09-23,271394.25,day_of_week,6.0,0.0,neutral,180355.1875
overall,overall,2018-09-23,271394.25,is_weekend,1.0,0.0,neutral,180355.1875
overall,overall,2018-09-23,271394.25,days_to_month_end,7.0,-1101.5125732421875,down,180355.1875
overall,overall,2018-09-23,271394.25,month_sin,-1.0,537.005615234375,up,180355.1875
overall,overall,2018-09-23,271394.25,month_cos,-1.8369701987210297e-16,515.1339721679688,up,180355.1875
overall,overall,2018-09-23,271394.25,week_sin,-0.992708874098054,-2493.173583984375,down,180355.1875
overall,overall,2018-09-23,271394.25,week_cos,-0.12053668025532357,1050.5443115234375,up,180355.1875
