series_type,series_id,forecast_timestamp,forecast_revenue,feature,feature_value,shap_value,direction,base_value
category,Automotive,2018-09-02,9803.1748046875,lag_1,6125.56,-639.6024169921875,down,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,lag_4,12249.76,-280.0992126464844,down,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,lag_52,2764.33,2745.818603515625,up,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,rolling_mean_4,14454.7225,733.9667358398438,up,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,rolling_std_4,6590.089161907574,-444.6800537109375,down,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,year,2018.0,162.8921356201172,up,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,month,9.0,-49.94258117675781,down,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,quarter,3.0,-7.5186614990234375,down,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,week_of_year,35.0,501.49859619140625,up,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,day_of_week,6.0,0.0,neutral,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,is_weekend,1.0,0.0,neutral,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,days_to_month_end,28.0,418.5866394042969,up,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,month_sin,-1.0,-24.594724655151367,down,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,month_cos,-1.8369701987210297e-16,-138.0152130126953,down,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,week_sin,-0.8854560256532096,-1003.6492309570312,down,7769.0146484375
category,Automotive,2018-09-02,9803.1748046875,week_cos,-0.4647231720437691,59.50410079956055,up,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,lag_1,9803.1748046875,769.1668090820312,up,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,lag_4,19189.28,582.7860107421875,up,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,lag_52,3914.67,2667.498291015625,up,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,rolling_mean_4,13843.076201171874,947.3883056640625,up,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,rolling_std_4,6965.783445805054,-541.838623046875,down,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,year,2018.0,162.8921356201172,up,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,month,9.0,-34.46946716308594,down,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,quarter,3.0,0.5247297883033752,up,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,week_of_year,36.0,613.0296020507812,up,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,day_of_week,6.0,0.0,neutral,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,is_weekend,1.0,0.0,neutral,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,days_to_month_end,21.0,583.0223999023438,up,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,month_sin,-1.0,-16.09994125366211,down,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,month_cos,-1.8369701987210297e-16,-94.3947525024414,down,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,week_sin,-0.9350162426854147,-681.7071533203125,down,7769.0146484375
category,Automotive,2018-09-09,12793.5205078125,week_cos,-0.3546048870425359,66.71316528320312,up,7769.0146484375
category,Automotive,2018-09-16,12027.4716796875,lag_1,12793.5205078125,1762.411376953125,up,7769.0146484375
category,Automotive,2018-09-16,12027.4716796875,lag_4,20254.29,397.197021484375,up,7769.0146484375
category,Automotive,2018-09-16,12027.4716796875,lag_52,2339.52,1240.2381591796875,up,7769.0146484375
category,Automotive,2018-09-16,12027.4716796875,rolling_mean_4,12244.136328125001,742.6593627929688,up,7769.0146484375
category,Automotive,2018-09-16,12027.4716796875,rolling_std_4,5996.100240043173,-199.22019958496094,down,7769.0146484375
category,Automotive,2018-09-16,12027.4716796875,year,2018.0,162.8921356201172,up,7769.0146484375
category,Automotive,2018-09-16,12027.4716796875,month,9.0,-34.09142303466797,down,7769.0146484375
category,Automotive,2018-09-16,12027.4716796875,quarter,3.0,0.5247297883033752,up,7769.0146484375
category,Automotive,2018-09-16,12027.4716796875,week_of_year,37.0,294.16412353515625,up,7769.0146484375
category,Automotive,2018-09-16,12027.4716796875,day_of_week,6.0,0.0,neutral,7769.0146484375
category,Automotive,2018-09-16,12027.4716796875,is_weekend,1.0,0.0,neutral,7769.0146484375
category,Automotive,2018-09-16,12027.4716796875,days_to_month_end,14.0,783.4154663085938,up,7769.0146484375
category,Automotive,2018-09-16,12027.4716796875,month_sin,-1.0,-45.206703186035156,down,7769.0146484375
