series_type,series_id,forecast_timestamp,forecast_revenue,base_value,up_1_feature,up_1_shap,down_1_feature,down_1_shap,up_2_feature,up_2_shap,down_2_feature,down_2_shap,up_3_feature,up_3_shap,down_3_feature,down_3_shap,up_4_feature,up_4_shap,down_4_feature,down_4_shap,up_5_feature,up_5_shap,down_5_feature,down_5_shap
overall,overall,2018-09-02,216361.15625,180355.1875,rolling_mean_4,27075.951171875,lag_4,-14603.630859375,lag_52,21078.931640625,lag_1,-12253.7626953125,days_to_month_end,6176.1865234375,,,week_cos,2545.339111328125,,,month,2255.763427734375,,
overall,overall,2018-09-09,228397.328125,180355.1875,rolling_mean_4,26791.828125,lag_4,-13441.494140625,lag_52,17589.96484375,week_sin,-7274.84033203125,lag_1,15443.7802734375,,,days_to_month_end,4355.0,,,month,2176.884521484375,,
overall,overall,2018-09-16,242334.5625,180355.1875,rolling_mean_4,34998.75390625,lag_4,-12910.6044921875,lag_52,16950.232421875,week_sin,-6794.89404296875,lag_1,15624.89453125,,,days_to_month_end,8295.4765625,,,month,2336.737548828125,,
overall,overall,2018-09-23,271394.25,180355.1875,rolling_mean_4,44186.609375,week_sin,-2493.173583984375,lag_1,23294.169921875,rolling_std_4,-2264.584228515625,lag_52,18064.99609375,days_to_month_end,-1101.5125732421875,lag_4,6051.60595703125,,,month,2346.687255859375,,
category,Automotive,2018-09-02,9803.1748046875,7769.0146484375,lag_52,2745.818603515625,week_sin,-1003.6492309570312,rolling_mean_4,733.9667358398438,lag_1,-639.6024169921875,week_of_year,501.49859619140625,rolling_std_4,-444.6800537109375,days_to_month_end,418.5866394042969,lag_4,-280.0992126464844,year,162.8921356201172,month_cos,-138.0152130126953
category,Automotive,2018-09-09,12793.5205078125,7769.0146484375,lag_52,2667.498291015625,week_sin,-681.7071533203125,rolling_mean_4,947.3883056640625,rolling_std_4,-541.838623046875,lag_1,769.1668090820312,month_cos,-94.3947525024414,week_of_year,613.0296020507812,month,-34.46946716308594,days_to_month_end,583.0223999023438,month_sin,-16.09994125366211
category,Automotive,2018-09-16,12027.4716796875,7769.0146484375,lag_1,1762.411376953125,week_sin,-794.2568969726562,lag_52,1240.2381591796875,rolling_std_4,-199.22019958496094,days_to_month_end,783.4154663085938,month_cos,-74.1005859375,rolling_mean_4,742.6593627929688,month_sin,-45.206703186035156,lag_4,397.197021484375,month,-34.09142303466797
category,Automotive,2018-09-23,14574.654296875,7769.0146484375,lag_52,2879.935302734375,week_sin,-689.0314331054688,lag_1,1320.658447265625,month_cos,-80.10485076904297,rolling_std_4,1093.373779296875,month_sin,-52.241817474365234,week_of_year,791.8854370117188,month,-18.852874755859375,rolling_mean_4,787.5704956054688,,
category,Beauty & Health,2018-09-02,28674.123046875,21556.576171875,lag_1,4619.17919921875,rolling_mean_4,-1036.652587890625,lag_52,1174.322265625,month_sin,-501.9917297363281,year,868.6971435546875,lag_4,-62.632118225097656,month,577.9328002929688,,,days_to_month_end,493.5580749511719,,
category,Beauty & Health,2018-09-09,32545.7890625,21556.576171875,lag_1,4743.82373046875,rolling_mean_4,-1364.6060791015625,lag_52,2845.927734375,month_sin,-501.7256164550781,days_to_month_end,2201.2197265625,,,year,959.550537109375,,,month,708.2210083007812,,
category,Beauty & Health,2018-09-16,29002.4765625,21556.576171875,lag_1,4087.8681640625,rolling_mean_4,-1099.8568115234375,lag_52,2334.01953125,month_sin,-514.6787109375,year,919.952392578125,week_cos,-39.307533264160156,month,705.220458984375,,,week_sin,535.0685424804688,,
category,Beauty & Health,2018-09-23,26605.9296875,21556.576171875,lag_1,5648.15234375,days_to_month_end,-2763.571533203125,lag_52,1996.3956298828125,week_sin,-1636.572265625,rolling_mean_4,1220.0086669921875,month_sin,-962.1173706054688,year,920.2334594726562,week_cos,-240.7259063720703,month,572.762451171875,week_of_year,-231.91664123535156
category,Books & Media,2018-09-02,6288.96435546875,3501.25634765625,lag_52,1051.858154296875,week_of_year,-185.84698486328125,days_to_month_end,612.6607055664062,month_cos,-9.570026397705078,year,362.0016784667969,,,lag_4,270.4654541015625,,,rolling_mean_4,158.3230743408203,,
category,Books & Media,2018-09-09,4016.015625,3501.25634765625,lag_4,831.38525390625,lag_1,-445.81640625,year,464.3347473144531,week_sin,-423.5415344238281,week_cos,207.1435089111328,lag_52,-259.3929748535156,rolling_mean_4,120.6361083984375,week_of_year,-256.2406921386719,days_to_month_end,120.45405578613281,month_cos,-10.088241577148438
category,Books & Media,2018-09-16,4705.55029296875,3501.25634765625,year,455.9881896972656,week_sin,-529.945556640625,lag_52,442.9680480957031,week_of_year,-249.9704132080078,lag_4,407.2170104980469,month_cos,-4.345174789428711,rolling_mean_4,269.3614807128906,,,week_cos,150.1123504638672,,
category,Books & Media,2018-09-23,2838.25634765625,3501.25634765625,lag_52,522.3375854492188,week_sin,-1091.6572265625,year,429.3213195800781,lag_4,-424.2897033691406,rolling_mean_4,262.0401611328125,days_to_month_end,-313.31561279296875,rolling_std_4,179.05825805664062,lag_1,-240.28318786621094,week_cos,142.49693298339844,week_of_year,-228.52728271484375
category,Electronics & Computing,2018-09-02,39612.859375,19808.994140625,month_sin,8119.45556640625,lag_1,-240.22760009765625,rolling_mean_4,2792.99755859375,,,lag_4,2099.175537109375,,,lag_52,1867.1258544921875,,,week_cos,1562.2235107421875,,
category,Electronics & Computing,2018-09-09,30145.91796875,19808.994140625,lag_1,3005.544677734375,week_of_year,-723.6452026367188,month_sin,2647.376708984375,week_sin,-479.9440002441406,lag_52,2337.294677734375,rolling_std_4,-82.72982025146484,week_cos,1330.0543212890625,rolling_mean_4,-53.84479904174805,lag_4,1223.4461669921875,,
category,Electronics & Computing,2018-09-16,24562.59765625,19808.994140625,month_sin,2612.0048828125,week_of_year,-1962.30419921875,lag_52,2200.246337890625,rolling_mean_4,-1033.7047119140625,lag_4,1329.9290771484375,days_to_month_end,-563.1978759765625,week_cos,938.8709716796875,week_sin,-140.21353149414062,lag_1,527.3281860351562,rolling_std_4,-74.32514190673828
category,Electronics & Computing,2018-09-23,15476.513671875,19808.994140625,month_sin,3328.340087890625,lag_4,-2851.09228515625,week_cos,926.0415649414062,week_of_year,-2040.1483154296875,month,419.3825988769531,days_to_month_end,-1310.3355712890625,month_cos,411.44842529296875,rolling_mean_4,-1167.142578125,year,43.35669708251953,lag_52,-748.0333251953125
category,Fashion & Accessories,2018-09-02,26277.419921875,19559.62890625,lag_52,3234.407470703125,week_sin,-1644.3310546875,rolling_mean_4,2634.825927734375,lag_4,-1345.7724609375,month_sin,1123.765380859375,week_of_year,-612.98779296875,days_to_month_end,1065.1141357421875,,,week_cos,729.5811157226562,,
category,Fashion & Accessories,2018-09-09,23355.728515625,19559.62890625,rolling_mean_4,4036.541259765625,week_sin,-2016.65283203125,lag_52,3726.013671875,lag_4,-1995.2735595703125,month_sin,658.050537109375,lag_1,-1549.2740478515625,week_cos,577.411376953125,week_of_year,-690.505126953125,days_to_month_end,507.4539489746094,,
category,Fashion & Accessories,2018-09-16,27294.10546875,19559.62890625,rolling_mean_4,4184.25,week_sin,-1573.039794921875,lag_52,2303.345947265625,lag_4,-1175.850341796875,lag_1,1918.5797119140625,week_of_year,-579.397705078125,month_sin,650.3160400390625,,,week_cos,594.004150390625,,
category,Fashion & Accessories,2018-09-23,24063.390625,19559.62890625,rolling_mean_4,4600.76953125,week_sin,-2426.836669921875,lag_52,2631.062255859375,lag_1,-1604.0491943359375,lag_4,914.7727661132812,days_to_month_end,-985.4212646484375,month_sin,646.1708374023438,week_of_year,-542.2405395507812,week_cos,620.9032592773438,,
category,Food & Beverage,2018-09-02,3597.196044921875,962.374267578125,lag_1,1122.268310546875,month,-4.0508527755737305,lag_52,692.77685546875,quarter,-0.038439009338617325,rolling_std_4,334.7278747558594,,,lag_4,168.13296508789062,,,month_cos,60.373680114746094,,
category,Food & Beverage,2018-09-09,3009.728759765625,962.374267578125,lag_1,1124.2220458984375,rolling_std_4,-43.24602508544922,lag_52,513.651123046875,days_to_month_end,-8.519367218017578,lag_4,164.08824157714844,month,-4.061252117156982,week_sin,73.98021697998047,quarter,-0.038439009338617325,week_of_year,47.3142204284668,,
category,Food & Beverage,2018-09-16,3536.92919921875,962.374267578125,lag_1,1118.79833984375,days_to_month_end,-13.897354125976562,lag_52,626.1834716796875,month,-4.03261137008667,rolling_std_4,334.2896423339844,quarter,-0.24985358119010925,lag_4,159.2960205078125,,,week_sin,93.52096557617188,,
category,Food & Beverage,2018-09-23,3099.6572265625,962.374267578125,lag_1,1100.850830078125,rolling_std_4,-84.35041046142578,lag_52,451.8601989746094,month,-2.70723819732666,days_to_month_end,153.98638916015625,quarter,-0.038439009338617325,lag_4,149.13400268554688,,,week_sin,139.00440979003906,,
category,"Gifts, Arts & Seasonal",2018-09-02,4791.5654296875,8620.3544921875,month,236.70883178710938,lag_1,-2827.8720703125,days_to_month_end,135.4480438232422,lag_52,-817.6956787109375,rolling_mean_4,56.58065414428711,week_of_year,-241.30274963378906,lag_4,49.308570861816406,week_sin,-135.11256408691406,quarter,23.132381439208984,rolling_std_4,-125.66767883300781
category,"Gifts, Arts & Seasonal",2018-09-09,5847.515625,8620.3544921875,lag_4,331.69219970703125,lag_1,-2681.132080078125,rolling_mean_4,246.43362426757812,week_of_year,-253.2052001953125,month,201.22511291503906,week_sin,-206.6649932861328,quarter,2.801999568939209,lag_52,-116.59554290771484,year,2.520228385925293,month_cos,-98.4585952758789
category,"Gifts, Arts & Seasonal",2018-09-16,4997.97265625,8620.3544921875,lag_4,232.18734741210938,lag_1,-2441.943359375,rolling_mean_4,185.447021484375,lag_52,-936.9344482421875,month,163.86021423339844,week_of_year,-256.48370361328125,quarter,2.801999568939209,rolling_std_4,-162.0311737060547,year,2.520228385925293,days_to_month_end,-120.8924560546875
category,"Gifts, Arts & Seasonal",2018-09-23,4553.7880859375,8620.3544921875,rolling_std_4,395.91412353515625,lag_1,-2530.09912109375,rolling_mean_4,223.2281494140625,lag_52,-872.4729614257812,month,181.70233154296875,lag_4,-711.1416625976562,quarter,2.801999568939209,week_of_year,-258.85418701171875,year,2.520228385925293,days_to_month_end,-192.06295776367188
category,Home & Furniture,2018-09-02,47548.59765625,35476.73046875,year,6664.8486328125,lag_1,-2817.826171875,lag_52,3780.4296875,lag_4,-1873.8896484375,rolling_mean_4,2379.7060546875,week_sin,-469.41925048828125,rolling_std_4,2225.68115234375,week_of_year,-189.86764526367188,week_cos,1425.82568359375,,
category,Home & Furniture,2018-09-09,41076.0078125,35476.73046875,lag_1,7253.48974609375,lag_4,-5447.33447265625,year,2676.607421875,lag_52,-1174.527587890625,rolling_std_4,1996.5146484375,week_of_year,-1084.647705078125,rolling_mean_4,701.9536743164062,days_to_month_end,-273.8108825683594,week_cos,407.3813171386719,month_cos,-71.04859924316406
category,Home & Furniture,2018-09-16,45177.09765625,35476.73046875,lag_1,5573.279296875,lag_4,-5914.03466796875,lag_52,2712.94384765625,week_of_year,-702.6215209960938,year,2699.28125,month_cos,-81.52715301513672,rolling_std_4,2480.974853515625,month,-16.847806930541992,rolling_mean_4,1155.2698974609375,quarter,-5.884376525878906
category,Home & Furniture,2018-09-23,58585.42578125,35476.73046875,lag_1,10595.8662109375,month,-68.50897979736328,lag_52,3662.5068359375,month_cos,-24.237611770629883,year,2776.4462890625,quarter,-5.884376525878906,week_sin,1588.0577392578125,,,rolling_mean_4,1558.7974853515625,,
category,Home Improvement & Garden,2018-09-02,16099.2451171875,11279.533203125,lag_52,2305.718017578125,days_to_month_end,-349.7860412597656,rolling_mean_4,2175.709228515625,lag_4,-298.7290954589844,week_cos,690.9136352539062,week_sin,-175.62892150878906,rolling_std_4,423.38897705078125,month_cos,-103.46967315673828,week_of_year,131.0928497314453,month,-60.69792556762695
category,Home Improvement & Garden,2018-09-09,14360.1259765625,11279.533203125,rolling_mean_4,2347.72900390625,lag_4,-725.4235229492188,lag_52,1919.5032958984375,days_to_month_end,-623.424560546875,week_cos,555.9091186523438,lag_1,-572.5429077148438,rolling_std_4,503.15234375,week_sin,-266.3276062011719,week_of_year,108.51919555664062,month_cos,-105.95716094970703
category,Home Improvement & Garden,2018-09-16,13090.7109375,11279.533203125,rolling_mean_4,2001.7408447265625,lag_4,-1056.262939453125,lag_52,1510.271728515625,lag_1,-333.3326416015625,week_of_year,202.594482421875,rolling_std_4,-275.77288818359375,week_sin,196.37806701660156,week_cos,-196.99679565429688,year,47.68159866333008,month_cos,-126.11780548095703
category,Home Improvement & Garden,2018-09-23,17039.642578125,11279.533203125,rolling_mean_4,2361.89990234375,month_cos,-132.27882385253906,lag_52,2278.12109375,month,-96.78408813476562,rolling_std_4,944.9130249023438,lag_1,-89.66551208496094,lag_4,441.2516784667969,week_cos,-73.45862579345703,week_of_year,228.49209594726562,days_to_month_end,-71.37287902832031
category,Kids & Baby,2018-09-02,13344.115234375,11853.3173828125,rolling_std_4,1263.9166259765625,lag_1,-2398.605712890625,days_to_month_end,737.0053100585938,week_of_year,-305.7666320800781,rolling_mean_4,725.2504272460938,lag_4,-98.48589324951172,month,468.30035400390625,,,month_sin,340.4537353515625,,
category,Kids & Baby,2018-09-09,11287.98828125,11853.3173828125,month,659.93408203125,lag_1,-887.1068115234375,rolling_mean_4,495.2052307128906,rolling_std_4,-408.4875793457031,lag_52,234.36715698242188,week_of_year,-402.9884338378906,month_sin,159.86952209472656,week_sin,-251.27577209472656,week_cos,122.38533020019531,days_to_month_end,-168.97723388671875
category,Kids & Baby,2018-09-16,13738.3193359375,11853.3173828125,week_sin,1490.644775390625,lag_1,-809.2213745117188,rolling_mean_4,654.3973999023438,week_of_year,-346.3474426269531,month,610.5679321289062,rolling_std_4,-151.14759826660156,month_sin,165.01109313964844,days_to_month_end,-110.62937927246094,lag_52,161.99427795410156,month_cos,-8.525772094726562
category,Kids & Baby,2018-09-23,13519.3779296875,11853.3173828125,week_sin,1391.7471923828125,lag_1,-663.5204467773438,rolling_mean_4,741.7611083984375,week_of_year,-433.65283203125,month,478.3329162597656,days_to_month_end,-147.16539001464844,lag_4,211.12588500976562,lag_52,-52.59739303588867,month_sin,107.89607238769531,rolling_std_4,-40.351444244384766
category,Kitchen & Appliances,2018-09-02,9421.0244140625,6773.62646484375,year,2319.329345703125,week_sin,-661.6285400390625,lag_52,692.1244506835938,week_of_year,-411.1009521484375,month_sin,579.5946655273438,rolling_std_4,-305.5777282714844,days_to_month_end,277.3637390136719,rolling_mean_4,-266.7869567871094,lag_4,228.5748748779297,,
category,Kitchen & Appliances,2018-09-09,9956.140625,6773.62646484375,year,2291.03662109375,week_sin,-530.9972534179688,lag_52,903.4702758789062,week_of_year,-382.2744140625,lag_4,538.7422485351562,rolling_mean_4,-351.6252136230469,days_to_month_end,336.8212585449219,lag_1,-34.539649963378906,month_sin,223.8624267578125,,
category,Kitchen & Appliances,2018-09-16,8923.7734375,6773.62646484375,year,2280.1435546875,rolling_std_4,-566.11865234375,lag_52,796.76220703125,rolling_mean_4,-379.91705322265625,month_sin,209.620361328125,week_of_year,-319.04925537109375,days_to_month_end,208.18951416015625,week_sin,-205.8833465576172,lag_4,142.24655151367188,lag_1,-118.81062316894531
category,Kitchen & Appliances,2018-09-23,5700.36279296875,6773.62646484375,year,1775.265625,week_sin,-1006.3464965820312,lag_52,1180.868896484375,lag_4,-987.7349853515625,month_sin,186.03887939453125,lag_1,-807.898681640625,month,50.883174896240234,week_of_year,-521.5794677734375,quarter,4.321516036987305,rolling_std_4,-501.6478271484375
category,"Office, Business & Services",2018-09-02,11705.5517578125,9239.1494140625,rolling_mean_4,1411.4862060546875,week_sin,-1309.05419921875,lag_52,1098.5709228515625,lag_1,-698.0283203125,days_to_month_end,1069.54736328125,week_of_year,-512.0142822265625,rolling_std_4,783.9306030273438,month_sin,-89.29518127441406,lag_4,629.5137329101562,month,-0.7169303894042969
